,month,hour,noise_counts
0,1,00,181303809180
1,1,01,131190337883
2,1,02,85668735024
3,1,03,58185316400
4,1,04,44129610697
5,1,05,26783905418
6,1,06,25559932208
7,1,07,30479844361
8,1,08,34901207322
9,1,09,45585990892
10,1,10,46508373043
11,1,11,50285062039
12,1,12,58522847107
13,1,13,65284162834
14,1,14,67141806091
15,1,15,69199142041
16,1,16,70581279367
17,1,17,84076598294
18,1,18,96033079746
19,1,19,100316281353
20,1,20,99505452412
21,1,21,134814911119
22,1,22,178756487548
23,1,23,190542141111
24,2,00,159448050670
25,2,01,114792496987
26,2,02,73920074280
27,2,03,50149000911
28,2,04,32719657176
29,2,05,24451469691
30,2,06,20615376273
31,2,07,24498206291
32,2,08,29778481204
33,2,09,33811332180
34,2,10,37843367466
35,2,11,40280436078
36,2,12,41728730470
37,2,13,42329932967
38,2,14,48901299041
39,2,15,49199363188
40,2,16,50048197915
41,2,17,58309988957
42,2,18,64686051377
43,2,19,74049769564
44,2,20,89883766997
45,2,21,113541713600
46,2,22,155819509390
47,2,23,177382363528
48,3,00,224388038172
49,3,01,147542869971
50,3,02,84744889581
51,3,03,58955099586
52,3,04,40330643711
53,3,05,28370689592
54,3,06,30770974153
55,3,07,34672380495
56,3,08,40924622795
57,3,09,50430128246
58,3,10,52377245845
59,3,11,56430271619
60,3,12,58140468174
61,3,13,64046630189
62,3,14,73411971607
63,3,15,86371425444
64,3,16,88169227128
65,3,17,94327356720
66,3,18,112589108112
67,3,19,136974966716
68,3,20,147936406272
69,3,21,179102650254
70,3,22,245914882516
71,3,23,267533425451
72,4,00,297057944209
73,4,01,181247284979
74,4,02,112124420102
75,4,03,66381056375
76,4,04,47986619950
77,4,05,27760615329
78,4,06,28115821699
79,4,07,33593696196
80,4,08,40286745697
81,4,09,48378926665
82,4,10,52604405466
83,4,11,56884684056
84,4,12,60252505717
85,4,13,65232875691
86,4,14,71463628407
87,4,15,93899815715
88,4,16,102405412312
89,4,17,124789886224
90,4,18,144512586551
91,4,19,169214394783
92,4,20,215330937779
93,4,21,268587543649
94,4,22,336640521340
95,4,23,361918364279
96,5,00,430154543158
97,5,01,293928530597
98,5,02,168840362821
99,5,03,110018664235
100,5,04,64951547628
101,5,05,37483907045
102,5,06,31311014578
103,5,07,38746605633
104,5,08,46637330123
105,5,09,55701489958
106,5,10,52556932939
107,5,11,60950289876
108,5,12,65408653507
109,5,13,75524399001
110,5,14,84217858462
111,5,15,101918633252
112,5,16,118856522784
113,5,17,144701156443
114,5,18,182178658738
115,5,19,229271604185
116,5,20,321020709651
117,5,21,427888544086
118,5,22,560924722746
119,5,23,538755011972
120,6,00,503352908844
121,6,01,322660531392
122,6,02,194785801003
123,6,03,110362957921
124,6,04,68657924637
125,6,05,39809602559
126,6,06,33236815954
127,6,07,35470494862
128,6,08,41785034865
129,6,09,49417236618
130,6,10,49777085600
131,6,11,57513279453
132,6,12,58183854779
133,6,13,71717242614
134,6,14,79442631892
135,6,15,90583663783
136,6,16,109505004588
137,6,17,130739915266
138,6,18,178908199551
139,6,19,225739923238
140,6,20,324487734216
141,6,21,467198283505
142,6,22,590934989979
143,6,23,600583062939
144,7,00,419849072093
145,7,01,309080872240
146,7,02,194064852457
147,7,03,124409051040
148,7,04,96233957818
149,7,05,69235628011
150,7,06,60472091078
151,7,07,61352525245
152,7,08,66071313919
153,7,09,71194805928
154,7,10,72676036049
155,7,11,72106076938
156,7,12,71950308685
157,7,13,79122581359
158,7,14,82038484280
159,7,15,91978601791
160,7,16,112011792387
161,7,17,145063982193
162,7,18,172257486451
163,7,19,217983615340
164,7,20,301830077165
165,7,21,399125983670
166,7,22,502500704433
167,7,23,526848660260
168,8,00,407099456807
169,8,01,277170806736
170,8,02,173433343539
171,8,03,107875358527
172,8,04,76439992151
173,8,05,45512686151
174,8,06,31700016237
175,8,07,33349029238
176,8,08,40465973881
177,8,09,55259889993
178,8,10,50520168091
179,8,11,51397216484
180,8,12,58819522230
181,8,13,68513359103
182,8,14,76558840350
183,8,15,94445946023
184,8,16,101864374471
185,8,17,116702484503
186,8,18,145910018586
187,8,19,210960450598
188,8,20,272656474248
189,8,21,331639348929
190,8,22,432084107193
191,8,23,433707107182
192,9,00,404902157266
193,9,01,281514443757
194,9,02,176197956931
195,9,03,122775089569
196,9,04,76147304809
197,9,05,53571870244
198,9,06,41815096966
199,9,07,48901692720
200,9,08,55648894109
201,9,09,59542501197
202,9,10,59031606497
203,9,11,60853661562
204,9,12,61569840225
205,9,13,75879110690
206,9,14,83508556269
207,9,15,92696028301
208,9,16,113985954875
209,9,17,142061994830
210,9,18,180369508348
211,9,19,254559213560
212,9,20,318978910492
213,9,21,384272180680
214,9,22,514648858082
215,9,23,504791766437
216,10,00,350964017670
217,10,01,228563419514
218,10,02,154053006189
219,10,03,98671172497
220,10,04,67549261463
221,10,05,41607515039
222,10,06,39830746258
223,10,07,47562030324
224,10,08,53876487618
225,10,09,60969269957
226,10,10,62702811436
227,10,11,63910982955
228,10,12,76921824594
229,10,13,82095101281
230,10,14,87206003349
231,10,15,92990579756
232,10,16,111394230747
233,10,17,129389018666
234,10,18,168169596608
235,10,19,209031851470
236,10,20,246581919372
237,10,21,296445291320
238,10,22,400176999765
239,10,23,418671547919
240,11,00,200143965503
241,11,01,141325198412
242,11,02,89784122493
243,11,03,63407342404
244,11,04,41022497404
245,11,05,29419830598
246,11,06,33621129380
247,11,07,43331012512
248,11,08,46276003016
249,11,09,48007788768
250,11,10,51109448920
251,11,11,49904955640
252,11,12,51573213589
253,11,13,66173947818
254,11,14,64809680877
255,11,15,73159815086
256,11,16,75996957723
257,11,17,86448471659
258,11,18,99624371976
259,11,19,109823823917
260,11,20,126313326062
261,11,21,152881865495
262,11,22,224943457181
263,11,23,226382178702
264,12,00,180255588023
265,12,01,135122135069
266,12,02,87611971598
267,12,03,59150175097
268,12,04,41932463877
269,12,05,34906582132
270,12,06,32209309509
271,12,07,40555746587
272,12,08,44304153756
273,12,09,49057852745
274,12,10,49588892800
275,12,11,54606303937
276,12,12,55397651319
277,12,13,60415987299
278,12,14,60627805027
279,12,15,62851991386
280,12,16,74466603451
281,12,17,82075940526
282,12,18,91671058739
283,12,19,101285565964
284,12,20,118391297936
285,12,21,148712266021
286,12,22,199293160009
287,12,23,221622537026
